path,subject,feature,standardized_beta,n_events
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,log_amplitude,0.16476641118775598,232
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,signed_log_pretouch_velocity,0.12527878071252005,232
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,signed_log_pretouch_acceleration,-0.02504670300189885,232
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,distance_to_pole_at_touch,-0.028215243695389896,232
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,theta_at_touch_deg,-0.31871591802922805,232
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,signed_log_curvature,0.19553161445654657,232
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,log_abs_curvature,-0.15168212343118154,232
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,log_touch_duration,0.1206578236736235,232
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,log_amplitude,-0.06632537311137804,242
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,signed_log_pretouch_velocity,0.16023527948019706,242
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,signed_log_pretouch_acceleration,-0.013292111361458626,242
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,distance_to_pole_at_touch,-0.1171843243741032,242
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,theta_at_touch_deg,-0.2963549479689399,242
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,signed_log_curvature,0.13028866593291685,242
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,log_abs_curvature,-0.14990028436918768,242
