feature,n_subjects,n_sessions,n_complete_events,median_beta,mean_beta,n_positive,p_two_sided,ci_low,ci_high,q
distance_to_pole_at_touch,20,34,10372,-0.004678293856609379,0.0035531857474811954,10,0.9272785186767578,-0.03484966196495531,0.025600623578185586,0.956329345703125
log_abs_curvature,20,34,10372,0.030398508402753453,0.03676472352749573,10,0.24548721313476562,-0.04744561877384594,0.12715047467613294,0.392779541015625
log_amplitude,20,34,10372,0.0855532549995199,0.06889916841724128,14,0.012079238891601562,0.009291141630808568,0.11271080939981068,0.0966339111328125
log_touch_duration,20,34,10372,0.045971002856527124,0.05165800432191238,14,0.082550048828125,-0.0124601280342385,0.11296563514586072,0.22013346354166666
signed_log_curvature,20,34,10372,0.03519055391135998,0.028581780708218613,12,0.3117942810058594,-0.015114522498600695,0.08777173148066186,0.4157257080078125
signed_log_pretouch_acceleration,20,34,10372,0.02243644562476095,0.03215757210412657,14,0.03623390197753906,-6.775189341903847e-05,0.04876543750101517,0.14493560791015625
signed_log_pretouch_velocity,20,34,10372,0.04094329520910468,0.03357025649959466,14,0.14290618896484375,0.006597773807998296,0.10963251360933687,0.2858123779296875
theta_at_touch_deg,20,34,10372,-0.08168327673642409,0.05440411381796908,7,0.956329345703125,-0.17902100897193834,0.14323996993946841,0.956329345703125
