brain_subregion,n_files,n_subjects,n_modeled_events,median_phase_gain,n_positive,p_two_sided,ci_low,ci_high
C2,25,12,8122,0.020951248189201244,11,0.00146484375,0.008415940023145163,0.03476071520487917
surround,10,9,4174,0.001726819055255513,5,0.65234375,-0.0035214841131502306,0.0075072319717408575
