path,subject,n_events,n_protraction,n_retraction,base_predictive_score,phase_predictive_score,delta_predictive_score,response_window_ms,minimum_neighbor_ms,endpoint,base_model,phase_basis,regularization_strength,n_selected_events,n_sessions,n_subjects,n_modeled_events,median_delta_predictive_score,mean_delta_predictive_score,n_positive,n_nonzero,p_two_sided,p_sign_two_sided,ci_low,ci_high
sub-anm106211/sub-anm106211_ses-20100925_behavior+icephys.nwb,anm106211,626.0,404.0,222.0,0.11627720841101874,0.3879045220889624,0.2716273136779437,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm106213/sub-anm106213_ses-20101215_obj-1copi4i_behavior+icephys.nwb,anm106213,782.0,663.0,119.0,0.0029962252653936705,0.0024887581906284373,-0.0005074670747652332,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm106213/sub-anm106213_ses-20101215_obj-1ykz3wz_behavior+icephys.nwb,anm106213,362.0,317.0,45.0,0.047032610472057756,0.04453739330862938,-0.002495217163428376,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm131970/sub-anm131970_ses-20110511_behavior+icephys.nwb,anm131970,153.0,87.0,66.0,0.18650311990822,0.20952901556479864,0.023025895656578643,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm134333/sub-anm134333_ses-20110601_behavior+icephys.nwb,anm134333,307.0,250.0,57.0,-0.003441785810481379,-0.0057130646376457594,-0.0022712788271643802,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm17702/sub-anm17702_ses-20100507_behavior+icephys.nwb,anm17702,598.0,557.0,41.0,0.040861942534599516,0.09038054977702459,0.04951860724242507,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,269.0,224.0,45.0,0.2660771596723478,0.2984035199524494,0.03232636028010161,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,280.0,247.0,33.0,0.0025376641993118954,0.043503737740387516,0.04096607354107562,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,372.0,336.0,36.0,0.28715331357786955,0.3774783637063922,0.09032505012852265,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,488.0,406.0,82.0,0.023931106465689744,0.02568957623458945,0.0017584697688997064,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,815.0,723.0,92.0,0.18690958514635325,0.27985458300499944,0.09294499785864618,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm217330/sub-anm217330_ses-20131126_behavior+icephys+ogen.nwb,anm217330,410.0,367.0,43.0,0.012422006249907747,0.008584837299322579,-0.003837168950585168,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm226692/sub-anm226692_ses-20140224_behavior+icephys+ogen.nwb,anm226692,800.0,648.0,152.0,0.02365873079304437,0.03185772789695207,0.008198997103907701,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
sub-anm226694/sub-anm226694_ses-20140222_obj-1noi7y3_behavior+icephys+ogen.nwb,anm226694,440.0,333.0,107.0,0.010559533001105792,0.025197694543274474,0.014638161542168682,50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853
