path,subject,n_events,n_protraction,n_retraction,base_predictive_score,phase_predictive_score,delta_predictive_score,response_window_ms,minimum_neighbor_ms,endpoint,base_model,phase_basis,regularization_strength,n_selected_events,n_sessions,n_subjects,n_modeled_events,median_delta_predictive_score,mean_delta_predictive_score,n_positive,n_nonzero,p_two_sided,p_sign_two_sided,ci_low,ci_high
sub-anm106211/sub-anm106211_ses-20100925_behavior+icephys.nwb,anm106211,462,282,180,0.11244358691304535,0.4210796691462261,0.30863608223318073,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm106213/sub-anm106213_ses-20101215_obj-1copi4i_behavior+icephys.nwb,anm106213,621,528,93,0.0026555061900764843,0.002181317923808934,-0.00047418826626755006,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm106213/sub-anm106213_ses-20101215_obj-1ykz3wz_behavior+icephys.nwb,anm106213,264,232,32,0.04099977446023062,0.03529259256011519,-0.005707181900115432,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm131970/sub-anm131970_ses-20110511_behavior+icephys.nwb,anm131970,120,74,46,0.18674800106729061,0.2127541497149532,0.026006148647662597,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm134333/sub-anm134333_ses-20110601_behavior+icephys.nwb,anm134333,224,185,39,-0.004859878981941401,-0.004092066990464938,0.0007678119914764636,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm17702/sub-anm17702_ses-20100507_behavior+icephys.nwb,anm17702,502,471,31,0.030291970371689403,0.0578487031652809,0.0275567327935915,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,230,193,37,0.20290975536539557,0.23653412000431429,0.03362436463891871,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,227,204,23,-0.01181236424157639,-0.0007331514919048931,0.011079212749671496,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,303,275,28,0.13082300071454767,0.2130355178199258,0.08221251710537814,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,400,327,73,0.010077531423013042,0.006183537847055054,-0.003893993575957988,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,639,567,72,0.16079469961593396,0.2523222221171,0.09152752250116603,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
