measure,n_files,n_subjects,median_retraction_minus_protraction,n_positive,p_two_sided,ci_low,ci_high
raw_spikes_per_touch,35,20,-0.042767175300112766,9,0.20244979858398438,-0.1405890999071212,0.02611740302658775
context_residual,35,20,-0.1174475527495334,8,0.14290618896484375,-0.22691243958510848,0.0402153882645574
kinematic_residual,35,20,-0.030282379532334053,8,0.24548721313476562,-0.16918455646232716,0.04688696907983096
