phase_branch,n_events,n_observed_durations,n_missing_durations,median_duration_ms,percent_observed_at_least_50ms
protraction,10113,10113,0,17.99999999997226,17.146247404331056
retraction,2660,2660,0,43.99999999998272,45.30075187969925
