path,subject,beta_log_previous_interval,n_events,analysis,response_window_ms,baseline_window_ms,minimum_previous_interval_ms,n_selected_events,n_sessions,n_subjects,median_beta,mean_beta,n_positive,p_two_sided,ci_low,ci_high
sub-anm106211/sub-anm106211_ses-20100925_behavior+icephys.nwb,anm106211,0.020039313243749107,746,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm106213/sub-anm106213_ses-20101215_obj-1copi4i_behavior+icephys.nwb,anm106213,0.026648688496186915,910,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm131970/sub-anm131970_ses-20110511_behavior+icephys.nwb,anm131970,0.13511206692584107,239,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm134333/sub-anm134333_ses-20110601_behavior+icephys.nwb,anm134333,0.010212286252541496,453,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm17702/sub-anm17702_ses-20100507_behavior+icephys.nwb,anm17702,0.12147950624916622,1186,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,-0.05879615478495165,409,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,-0.11179935266557808,342,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,0.16245240072161038,442,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,-0.06978786494112854,638,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,0.016409141190790746,977,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm217330/sub-anm217330_ses-20131126_behavior+icephys+ogen.nwb,anm217330,0.19281410087521647,570,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm226692/sub-anm226692_ses-20140224_behavior+icephys+ogen.nwb,anm226692,-0.04545911685939971,817,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm226694/sub-anm226694_ses-20140222_obj-1noi7y3_behavior+icephys+ogen.nwb,anm226694,0.03733862754691386,633,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
