merge_a,merge_b,endpoint,base_model,n_groups,median,n_positive,n_nonzero,p_wilcoxon,p_sign,q_wilcoxon,q_sign
anm106211,anm17702,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4653167724609375,0.6476058959960938,0.4653167724609375,0.6476058959960938
anm106211,anm211295,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm106211,anm211295,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm106211,anm211295,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm106211,anm211295,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4653167724609375,0.6476058959960938,0.4653167724609375,0.6476058959960938
anm106211,anm215592,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm106211,anm215592,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm106211,anm215592,any_spike,context,19,0.0052476485641984,11,19,0.22532272338867188,0.6476058959960938,0.3004302978515625,0.6476058959960938
anm106211,anm215592,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4653167724609375,0.6476058959960938,0.4653167724609375,0.6476058959960938
anm106211,anm217330,count,context,19,0.0158275950408049,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm106211,anm217330,count,continuous_kinematics,19,0.008923943531095,15,19,0.001171112060546875,0.0192108154296875,0.00234222412109375,0.038421630859375
anm106211,anm217330,any_spike,context,19,0.0052476485641984,11,19,0.18186569213867188,0.6476058959960938,0.24248758951822916,0.6476058959960938
anm106211,anm217330,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.5152778625488281,0.6476058959960938,0.5152778625488281,0.6476058959960938
anm106211,anm226692,count,context,19,0.0158275950408049,14,19,0.000644683837890625,0.063568115234375,0.0025787353515625,0.12713623046875
anm106211,anm226692,count,continuous_kinematics,19,0.008923943531095,14,19,0.0033416748046875,0.063568115234375,0.006683349609375,0.12713623046875
anm106211,anm226692,any_spike,context,19,0.015291803426662,11,19,0.14468765258789062,0.6476058959960938,0.1929168701171875,0.6476058959960938
anm106211,anm226692,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.3954620361328125,0.359283447265625,0.3954620361328125,0.4790445963541667
anm106211,anm226694,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm106211,anm226694,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm106211,anm226694,any_spike,context,19,0.0052476485641984,11,19,0.22532272338867188,0.6476058959960938,0.3004302978515625,0.6476058959960938
anm106211,anm226694,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4653167724609375,0.6476058959960938,0.4653167724609375,0.6476058959960938
anm106211,anm226695,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm106211,anm226695,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm106211,anm226695,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm106211,anm226695,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.5152778625488281,0.6476058959960938,0.5152778625488281,0.6476058959960938
anm106211,anm234230,count,context,19,0.0158275950408049,14,19,0.000644683837890625,0.063568115234375,0.0025787353515625,0.12713623046875
anm106211,anm234230,count,continuous_kinematics,19,0.008923943531095,14,19,0.002399444580078125,0.063568115234375,0.00479888916015625,0.12713623046875
anm106211,anm234230,any_spike,context,19,0.015291803426662,11,19,0.156402587890625,0.6476058959960938,0.20853678385416666,0.6476058959960938
anm106211,anm234230,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.3954620361328125,0.6476058959960938,0.3954620361328125,0.6476058959960938
anm106211,anm234231,count,context,19,0.0158275950408049,15,19,0.000164031982421875,0.0192108154296875,0.0006561279296875,0.038421630859375
anm106211,anm234231,count,continuous_kinematics,19,0.008923943531095,15,19,0.000789642333984375,0.0192108154296875,0.00157928466796875,0.038421630859375
anm106211,anm234231,any_spike,context,19,0.015291803426662,12,19,0.05457305908203125,0.359283447265625,0.07276407877604167,0.4790445963541667
anm106211,anm234231,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.2934989929199219,0.6476058959960938,0.2934989929199219,0.6476058959960938
anm106211,anm234232,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm106211,anm234232,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm106211,anm234232,any_spike,context,19,0.015291803426662,12,19,0.11337661743164062,0.359283447265625,0.1511688232421875,0.359283447265625
anm106211,anm234232,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.4180412292480469,0.359283447265625,0.4180412292480469,0.359283447265625
anm106211,anm244024,count,context,19,0.0158275950408049,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm106211,anm244024,count,continuous_kinematics,19,0.008923943531095,15,19,0.000965118408203125,0.0192108154296875,0.00193023681640625,0.038421630859375
anm106211,anm244024,any_spike,context,19,0.015291803426662,12,19,0.104156494140625,0.359283447265625,0.13887532552083334,0.4790445963541667
