minimum_interval_to_both_observed_neighbors_ms,n_events,n_files,n_subjects,mean_spikes_per_touch,ci_low,ci_high
0,16231,41,21,0.36390965211656556,0.24110936143729658,0.5016025230161032
20,15750,41,21,0.36180746339019343,0.23935508563838845,0.4972712389384834
30,14808,41,21,0.36007525452736777,0.23981817903950559,0.49129295792155214
50,10097,41,21,0.36252067387062953,0.24698718725742333,0.4901290089167987
100,4532,41,21,0.36711979925483285,0.24720337320787464,0.5005369667992432
250,350,38,21,0.35004796790511067,0.21428571428571427,0.506111111111111
