subject,feature,standardized_beta
anm244025,signed_log_pretouch_velocity,-0.21208081178605945
anm244025,theta_at_touch_deg,-0.021713890361600513
anm244028,distance_to_pole_at_touch,-0.07943375255498694
anm244028,log_abs_curvature,0.19706413164616243
anm244028,log_amplitude,0.24673037790618535
anm244028,log_touch_duration,0.031371664159722916
anm244028,signed_log_curvature,0.21395625682832203
anm244028,signed_log_pretouch_acceleration,0.032425000119534635
anm244028,signed_log_pretouch_velocity,-0.022927825307311737
anm244028,theta_at_touch_deg,-0.19932453499770103
anm266945,distance_to_pole_at_touch,-0.06283195315224295
anm266945,log_abs_curvature,-0.023807443497185894
anm266945,log_amplitude,0.09450458537510563
anm266945,log_touch_duration,-0.06769832353533967
anm266945,signed_log_curvature,0.25678909084398643
anm266945,signed_log_pretouch_acceleration,0.08634154800124325
anm266945,signed_log_pretouch_velocity,0.1260272108484774
anm266945,theta_at_touch_deg,-0.05494134453269429
jf35892,distance_to_pole_at_touch,-0.015129639477672152
jf35892,log_abs_curvature,0.07243698356200706
jf35892,log_amplitude,0.10583267678368657
jf35892,log_touch_duration,0.018596341779649386
jf35892,signed_log_curvature,-0.11928393567431812
jf35892,signed_log_pretouch_acceleration,-0.006850773468823914
jf35892,signed_log_pretouch_velocity,0.016411156840790267
jf35892,theta_at_touch_deg,-0.16402583980978058
jf37166,distance_to_pole_at_touch,-0.026838830215386904
jf37166,log_abs_curvature,0.1356759996684108
jf37166,log_amplitude,-0.09081362309524771
jf37166,log_touch_duration,-0.07780695256266074
jf37166,signed_log_curvature,-0.05538211796328922
jf37166,signed_log_pretouch_acceleration,0.07691031751250797
jf37166,signed_log_pretouch_velocity,-0.0381621621951942
jf37166,theta_at_touch_deg,-0.27482509279204503
