minimum_interval_to_both_neighbors_ms,n_events,n_files,n_subjects,mean_spikes_per_touch,ci_low,ci_high
0,19675,41,21,0.41698395224960666,0.27929215022948783,0.5699726438485551
20,19160,41,21,0.41596119222044753,0.2785775716930377,0.5686123752963336
30,18157,41,21,0.4146934896763315,0.2784864469450655,0.5619273906181843
50,12773,41,21,0.41573047764643256,0.2848524604766549,0.5586454014251842
100,6251,41,21,0.43220611201401254,0.2927814048450342,0.5845689395797724
250,1014,41,21,0.5142215630578173,0.2909701538400104,0.790649017231284
