analysis,n_pairings,n_groups_min,n_groups_max,median_min,median_max,q_wilcoxon_min,q_wilcoxon_max,q_sign_min,q_sign_max
"Phase count, context",210,19,20,0.0146381615421686,0.0158275950408049,0.000820159912109375,0.003948211669921875,0.04802703857421875,0.1589202880859375
"Phase count, measured kinematics",210,19,20,0.0079079365151952,0.008923943531095,0.0019741058349609375,0.009794235229492188,0.04802703857421875,0.1589202880859375
"Post-touch count, 50 ms",210,19,20,-0.0013600714079572,0.0180504917592215,0.375,0.7742188193581321,,
"Baseline-subtracted rate, dense",210,19,20,0.1247318855808731,0.1395935069697032,0.00965118408203125,0.03836891867897727,,
"Baseline-subtracted rate, 100 ms",210,18,19,-0.0231802027624686,0.0038980251143132492,0.7520157950265067,1.0,,
