response_window_ms,minimum_neighbor_ms,endpoint,base_model,phase_basis,regularization_strength,n_selected_events,n_sessions,n_subjects,n_modeled_events,median_delta_predictive_score,mean_delta_predictive_score,n_positive,n_nonzero,p_two_sided,p_sign_two_sided,ci_low,ci_high
50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
50,50,count,continuous_kinematics,two_harmonics,1.0,10097,30,19,9247,0.0078838593285111,0.02193115246396205,15,19,0.0016937255859375,0.0192108154296875,0.0008262166543120397,0.021207430079203615
