path,subject,n_events,n_protraction,n_retraction,base_predictive_score,phase_predictive_score,delta_predictive_score,analysis,response_window_ms,minimum_neighbor_ms,regularization_strength,n_selected_events,n_sessions,n_subjects,n_modeled_events,median_delta_predictive_score,mean_delta_predictive_score,n_positive,n_nonzero,p_two_sided,p_sign_two_sided,ci_low,ci_high
sub-anm106211/sub-anm106211_ses-20100925_behavior+icephys.nwb,anm106211,626,404,222,0.47547130191747056,0.5161591407722362,0.04068783885476568,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm106213/sub-anm106213_ses-20101215_obj-1copi4i_behavior+icephys.nwb,anm106213,782,663,119,0.006304611045654496,0.005554052574744617,-0.0007505584709098789,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm106213/sub-anm106213_ses-20101215_obj-1ykz3wz_behavior+icephys.nwb,anm106213,362,317,45,0.09250550618149622,0.08980598027644338,-0.0026995259050528464,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm131970/sub-anm131970_ses-20110511_behavior+icephys.nwb,anm131970,153,87,66,0.2136460053853163,0.21606306291271593,0.002417057527399624,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm134333/sub-anm134333_ses-20110601_behavior+icephys.nwb,anm134333,307,250,57,-0.008076706097163155,-0.010033248811424311,-0.0019565427142611558,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm17702/sub-anm17702_ses-20100507_behavior+icephys.nwb,anm17702,598,557,41,0.11178102680652602,0.1282580579979098,0.016477031191383773,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,269,224,45,0.29258681188129665,0.3524454829471919,0.059858671065895264,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,280,247,33,0.046715799241075384,0.07881309320997454,0.032097293968899154,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,372,336,36,0.38597840028735975,0.395107978323589,0.009129578036229269,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,488,406,82,0.05856053829805663,0.06197535002107313,0.0034148117230164976,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
