path,subject,beta_log_previous_interval,n_events,analysis,response_window_ms,baseline_window_ms,minimum_previous_interval_ms,n_selected_events,n_sessions,n_subjects,median_beta,mean_beta,n_positive,p_two_sided,ci_low,ci_high
sub-anm106211/sub-anm106211_ses-20100925_behavior+icephys.nwb,anm106211,-0.14421908273579515,746,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm106213/sub-anm106213_ses-20101215_obj-1copi4i_behavior+icephys.nwb,anm106213,0.026648688496186887,910,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm131970/sub-anm131970_ses-20110511_behavior+icephys.nwb,anm131970,0.08346794078874217,239,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm134333/sub-anm134333_ses-20110601_behavior+icephys.nwb,anm134333,0.0476071720671155,453,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm17702/sub-anm17702_ses-20100507_behavior+icephys.nwb,anm17702,0.082980412363819,1186,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,-0.06011649022601717,409,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,-0.13456897132237586,342,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,-0.0018741771056047796,442,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,0.008507141569104232,638,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,-0.16052584994976032,977,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm217330/sub-anm217330_ses-20131126_behavior+icephys+ogen.nwb,anm217330,0.18213074043728966,570,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm226692/sub-anm226692_ses-20140224_behavior+icephys+ogen.nwb,anm226692,0.006476708427359229,817,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm226694/sub-anm226694_ses-20140222_obj-1noi7y3_behavior+icephys+ogen.nwb,anm226694,0.019393627523564883,633,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
